43;floating_harbor;4115.00;9.50;1390.00;-4.10;434
123;floating_harbor;4565.00;9.50;891.00;-2.91;1205
205;floating_harbor;4563.90;9.50;924.15;-1.41;2690
162;floating_harbor;4652.00;9.50;814.00;-4.39;5297
151;floating_harbor;4606.00;9.50;612.00;-3.14;7377
2;floating_harbor;3286.95;9.50;1833.95;-0.79;5446
4;floating_harbor;3260.74;9.50;1529.13;1.11;5880
5;floating_harbor;3488.13;9.50;1499.74;-2.68;5933
6;floating_harbor;3528.00;9.50;1502.00;1.57;5929
7;floating_harbor;3453.00;10.43;1258.00;-3.54;6392
8;floating_harbor;3405.40;9.50;1881.50;0.38;5402
18;floating_harbor;3653.90;9.50;1881.15;-1.41;5285
20;floating_harbor;3566.00;9.50;1203.00;-3.14;6488
21;floating_harbor;3735.00;9.50;1876.00;0.00;5407
38;floating_harbor;3650.60;9.50;1116.50;-2.76;6620
39;floating_harbor;3740.00;9.50;1029.00;-3.14;6751
46;floating_harbor;4057.00;10.07;1349.00;-2.68;6239
47;floating_harbor;3766.00;9.50;1901.00;-3.14;5388
60;floating_harbor;3955.00;9.50;1254.00;-0.67;6459
62;floating_harbor;3834.60;9.50;924.80;-2.21;6917
64;floating_harbor;3887.00;9.50;1190.00;-0.14;6536
133;floating_harbor;3818.27;9.50;856.08;-4.43;7011
134;floating_harbor;3732.37;9.50;622.86;-0.20;7394
148;floating_harbor;4324.37;9.50;520.14;-2.94;7506
149;floating_harbor;4356.87;9.50;493.74;-3.61;7523
150;floating_harbor;4416.30;9.50;574.21;-3.39;7444
158;floating_harbor;4569.95;9.50;878.87;-1.45;6983
159;floating_harbor;4621.00;9.50;844.00;0.00;7052
161;floating_harbor;4670.26;9.50;791.13;-1.11;7133
163;floating_harbor;4670.26;9.50;756.87;-2.03;7182
166;floating_harbor;4667.50;9.50;792.60;1.19;7126
167;floating_harbor;4655.00;9.70;703.00;-3.28;7210
168;floating_harbor;4558.40;9.50;582.00;0.54;7455
189;floating_harbor;4460.00;9.50;543.00;-3.68;7494
190;floating_harbor;4505.00;9.50;318.00;-2.19;7640
193;floating_harbor;4381.87;9.50;281.26;0.46;7682
195;floating_harbor;4302.13;9.50;131.95;0.12;7755
196;floating_harbor;4193.40;9.50;158.00;0.54;7743
197;floating_harbor;4104.00;9.50;4.00;1.57;7797
198;floating_harbor;4030.13;9.50;60.74;-2.68;4815
215;floating_harbor;3805.18;9.50;1067.88;0.98;6718
218;floating_harbor;3989.00;9.50;1281.00;-4.16;1722
219;floating_harbor;3989.00;9.50;1281.00;-1.01;6438
221;floating_harbor;3867.60;9.50;635.50;-2.76;7360
222;floating_harbor;3944.05;9.50;607.05;-3.93;7401
225;floating_harbor;3821.21;9.50;762.70;1.33;7177
3;floating_harbor;3383.00;9.50;1770.00;1.57;534
231;floating_harbor;4022.56;9.50;621.69;-2.43;7373
232;floating_harbor;4122.21;9.50;691.36;-2.82;7249
142;floating_harbor;4299.88;9.50;690.18;-2.55;7278
152;arms_factory;2872.93;13.20;761.49;0.94;0
152;arms_factory;2873.00;10.82;757.00;3.60;0
152;arms_factory;2873.00;10.62;752.00;1.44;0
152;arms_factory;2874.04;11.50;769.37;1.55;0
152;arms_factory;2872.30;12.00;758.83;5.67;0
152;arms_factory;2870.09;11.60;756.41;2.05;0
152;industrial_complex;2874.77;14.20;759.67;4.71;0
152;industrial_complex;2879.22;10.90;763.52;1.45;0
152;industrial_complex;2876.03;10.80;753.93;4.11;0
152;industrial_complex;2869.64;11.30;753.66;0.50;0
152;industrial_complex;2867.11;13.20;756.36;2.05;0
